A_symbol,B_symbol,y_exists,kernel_cosine,kernel_dot,kernel_rbf,kernel_laplacian,kernel_poly2
Pb,U,1,-1.178737101556e-01,-1.077204863174e+00,4.635408414127e-01,4.160927573746e-01,9.426203144210e-01
Pb,V,1,3.030205369111e-01,1.909363826428e+00,7.504868964403e-01,5.852274581448e-01,1.105871872445e+00
Pb,W,0,-2.917814801873e-01,-3.476233772205e+00,2.655899299260e-01,3.161828289354e-01,8.209224997048e-01
Pb,Xe,0,-2.847465720233e-01,-2.494874384798e+00,4.510609118641e-01,4.097229830012e-01,8.696886002344e-01
Pb,Y,1,-1.105084257819e-01,-3.267566294846e+00,1.268018632105e-03,7.557026893967e-02,8.311739106447e-01
Pb,Yb,1,4.594717566652e-01,1.851420026943e+00,8.882108707669e-01,7.087125688314e-01,1.102580597597e+00
Pb,Zn,0,2.050315847244e-02,1.140975748086e-01,7.260131633158e-01,5.678767889978e-01,1.006176945794e+00
Pb,Zr,1,5.529667909429e-01,3.107913831117e+00,8.496729812645e-01,6.679023197932e-01,1.175050950975e+00
Pd,Po,0,4.010320427478e-01,5.359647278184e+00,5.177704760604e-01,4.442758711918e-01,1.310693730849e+00
Pd,S,0,-4.885875644883e-01,-7.141707724252e+00,2.549327695442e-01,3.106516309119e-01,6.512181282864e-01
Pd,Sb,0,1.135293173889e-01,1.205351224072e+00,4.399295581072e-01,4.040696078866e-01,1.066215385066e+00
Pd,Se,0,-1.379253374710e-01,-1.548284524313e+00,3.744046614184e-01,3.711421789544e-01,9.180599928189e-01
Pd,Si,0,-2.089116065674e-01,-2.503380677669e+00,3.497664573230e-01,3.588201629188e-01,8.692598573191e-01
Pd,Te,0,8.542478229315e-02,9.062302808372e-01,4.329473734663e-01,4.005354277233e-01,1.049585313443e+00
Pm,Po,1,7.666500829182e-01,5.964350431866e+00,8.964734678791e-01,7.185031345780e-01,1.348382328731e+00
Pm,Rb,0,5.712122669549e-01,4.096354928472e+00,8.309822829095e-01,6.503224993149e-01,1.233681803073e+00
Pm,S,1,-3.059013890025e-01,-2.602854806310e+00,5.459859568124e-01,4.593597507985e-01,8.642539061182e-01
Pm,Sb,1,4.790979242060e-01,2.961002036717e+00,8.105918465296e-01,6.323910421011e-01,1.166458498012e+00
Pm,Sc,0,4.902630434609e-01,3.671454426663e+00,8.017484222678e-01,6.249621070988e-01,1.208303290855e+00
Pm,Se,1,1.732891438596e-01,1.132366216559e+00,7.252288264259e-01,5.673351103124e-01,1.062145619630e+00
Pm,Si,1,1.772241147603e-01,1.236220590458e+00,7.174162878419e-01,5.619848860807e-01,1.067939054085e+00
Pm,Sn,1,5.602857644236e-01,3.201808499085e+00,8.338688929881e-01,6.529607205525e-01,1.180559099048e+00
Pm,Sr,0,3.912970101035e-01,2.565173819544e+00,7.830344618795e-01,6.098459733673e-01,1.143464557612e+00
Pm,Te,1,3.204611748289e-01,1.978968765722e+00,7.688162836938e-01,5.988519279955e-01,1.109831998568e+00
Pm,Y,0,4.625171780629e-03,2.225872356215e-01,1.298748056312e-03,7.592172034474e-02,1.012067933173e+00
Pm,Zr,0,9.584274975797e-01,8.767435060114e+00,9.785382565626e-01,8.630405774134e-01,1.530064362295e+00
Po,Pr,1,5.404325376020e-01,4.321456070344e+00,8.081353150967e-01,6.303077145181e-01,1.247233551332e+00
Po,Pt,0,8.676887671408e-01,4.279606902166e+00,9.587677890371e-01,8.144857288347e-01,1.244708506937e+00
Po,Pu,1,-4.314187686394e-02,-5.090548189452e-01,4.478599159707e-01,4.080947175146e-01,9.726728124228e-01
Po,Ra,1,6.831349649195e-01,4.049461644450e+00,9.031985121978e-01,7.268164141364e-01,1.230868006793e+00
Po,Rb,1,3.859953265114e-01,2.199699781349e+00,8.268259819168e-01,6.465695121197e-01,1.122437153359e+00
Po,Re,0,6.720433125181e-01,3.765834612729e+00,9.041133537363e-01,7.279732324253e-01,1.213917656444e+00
Po,Rf,1,-3.254534983498e-01,-5.964236239472e+00,1.411868582968e-01,2.468022234944e-01,7.035928650104e-01
Po,Rh,0,8.508274162008e-01,5.905094221332e+00,9.432008246145e-01,7.851988916025e-01,1.344665529687e+00
Po,Rn,0,3.462956892777e-02,2.629251761753e-01,6.670515736562e-01,5.292427677895e-01,1.014262668141e+00
Po,Ru,0,7.145217372915e-01,4.590143979466e+00,9.053920219219e-01,7.296010190512e-01,1.263506264597e+00
Po,S,0,2.451793604621e-02,1.657806023655e-01,6.990742087290e-01,5.497291058897e-01,1.008981189031e+00
Po,Sb,0,7.627315532815e-01,3.745997141095e+00,9.323464758361e-01,7.674583443380e-01,1.212736510608e+00
Po,Sc,1,2.611732917912e-01,1.554243498493e+00,7.882842231964e-01,6.140085569920e-01,1.085777714931e+00
Po,Se,0,6.207697911364e-01,3.223498214685e+00,8.951838061403e-01,7.169454777193e-01,1.181833315286e+00
Po,Sg,1,-3.548159777123e-01,-6.561242618203e+00,1.330984625467e-01,2.416913703773e-01,6.767844784134e-01
Po,Si,0,1.717680430221e-01,9.521312875938e-01,7.788416623999e-01,6.065624982370e-01,1.052128757685e+00
Po,Sm,1,5.415625567295e-01,4.188711138843e+00,8.169338877681e-01,6.378428596108e-01,1.239232962220e+00
Po,Sn,0,7.407244983732e-01,3.363750575919e+00,9.273559667684e-01,7.598585409858e-01,1.190089379514e+00
Po,Sr,1,1.454845126265e-01,7.578937828893e-01,7.828910736903e-01,6.097330895306e-01,1.041386810022e+00
Po,Ta,1,7.198305843565e-01,4.733427335098e+00,9.046003742139e-01,7.285917143782e-01,1.272227141807e+00
Po,Tb,1,4.119825236994e-01,3.417814641232e+00,7.533545078248e-01,5.873211029751e-01,1.193279576606e+00
Po,Tc,0,7.198922822761e-01,4.481034196321e+00,9.100515024167e-01,7.356445085213e-01,1.256885462379e+00
Po,Te,0,7.289637793976e-01,3.577262258800e+00,9.240387041465e-01,7.549741749316e-01,1.202713084309e+00
Po,Th,1,-1.623717431831e-01,-3.348784782117e+00,1.099599129561e-01,2.263183348870e-01,8.271762495546e-01
Po,Ti,1,9.754155418147e-02,8.077930542214e-01,6.549139575170e-01,5.217442496191e-01,1.044141136326e+00
Po,Tl,0,9.357690124296e-01,5.256611956935e+00,9.793187163728e-01,8.654013618117e-01,1.304325240379e+00
Po,Tm,1,2.187496613015e-02,1.960586271677e-01,6.018969527530e-01,4.904122262164e-01,1.010625841779e+00
Po,U,1,-9.364742602463e-02,-1.106883419217e+00,4.327179788511e-01,4.004194582415e-01,9.410634170063e-01
Po,V,1,1.151419197646e-01,9.383714335322e-01,6.658284551542e-01,5.284809325807e-01,1.051365980299e+00
Po,W,1,-3.633353534645e-01,-5.598653556559e+00,2.214117422797e-01,2.929078941833e-01,7.202662954427e-01
Po,Xe,0,-5.556488357737e-01,-6.296732927970e+00,3.433988052960e-01,3.556322045703e-01,6.885979612099e-01
Po,Y,1,-5.509321535220e-02,-2.106938309202e+00,1.262366513291e-03,7.550494938575e-02,8.893540936142e-01
Po,Yb,1,6.870486847108e-01,3.580620830808e+00,9.118499447448e-01,7.380261918660e-01,1.202912189199e+00
Po,Zn,0,-3.093083313719e-01,-2.226239827637e+00,5.981606528702e-01,4.882804543813e-01,8.832829777393e-01
Po,Zr,1,7.225171232510e-01,5.252218054639e+00,8.920800142246e-01,7.132422969978e-01,1.304054003314e+00
Pr,Rb,0,6.558752011870e-01,4.834414821678e+00,8.519855109067e-01,6.701644623744e-01,1.278391719118e+00
