symA,symB,S_cos,S_wcos,S_dot,same_group,period_distance
S,At,-3.229482918936e-01,-5.379324000346e-01,-7.807267519554e+00,0,3.000000000000e+00
S,Rn,2.427825761936e-03,1.958425082351e-01,2.016067794702e-02,0,3.000000000000e+00
S,Fr,-1.103031452811e-01,-1.226831740757e-01,-3.192149080397e+00,0,4.000000000000e+00
S,Ra,-1.166774503366e-01,1.419674878142e-01,-7.564500120566e-01,0,4.000000000000e+00
S,Ac,-2.478565786946e-01,-1.240728046299e-01,-2.137138432520e+00,0,4.000000000000e+00
S,Th,1.891327389867e-01,3.231908559183e-01,4.266247283417e+00,0,4.000000000000e+00
S,Pa,-4.522543724791e-01,-6.084604086370e-01,-5.834289655232e+00,0,4.000000000000e+00
S,U,-4.023055811922e-01,-5.634342429199e-01,-5.200733777409e+00,0,4.000000000000e+00
S,Np,-4.421809796743e-01,-6.218306363504e-01,-5.706113895425e+00,0,4.000000000000e+00
S,Pu,-4.328995470592e-01,-6.052181056871e-01,-5.586697777309e+00,0,4.000000000000e+00
S,Am,-5.174268187444e-01,-7.156297989794e-01,-6.965653817344e+00,0,4.000000000000e+00
S,Cm,-4.085273344381e-01,-5.814122552915e-01,-5.297291927371e+00,0,4.000000000000e+00
S,Bk,-4.101289143408e-01,-5.750284020792e-01,-5.295707898827e+00,0,4.000000000000e+00
S,Cf,-4.933111252744e-01,-6.874343825108e-01,-6.528193210198e+00,0,4.000000000000e+00
S,Es,-5.555129457416e-01,-7.504712052799e-01,-7.853071294122e+00,0,4.000000000000e+00
S,Fm,-4.361249235071e-01,-5.285543436856e-01,-8.746441345489e+00,0,4.000000000000e+00
S,Md,-4.333618656214e-01,-5.266037156450e-01,-8.693193518543e+00,0,4.000000000000e+00
S,No,-4.319975348723e-01,-5.256405545617e-01,-8.667026015017e+00,0,4.000000000000e+00
S,Lr,-4.817362668284e-01,-5.608687508040e-01,-9.689308224047e+00,0,4.000000000000e+00
S,Rf,-4.508758089390e-01,-5.389730502671e-01,-9.037022343964e+00,0,4.000000000000e+00
S,Db,-4.257744278711e-01,-5.212469634510e-01,-8.548663702548e+00,0,4.000000000000e+00
S,Sg,-3.925920044705e-01,-4.977668337228e-01,-7.940117108885e+00,0,4.000000000000e+00
S,Bh,-3.968358262899e-01,-5.007780933634e-01,-8.016185433092e+00,0,4.000000000000e+00
S,Hs,-4.010548135854e-01,-5.037686700981e-01,-8.092253757300e+00,0,4.000000000000e+00
Cl,Ar,4.448748735977e-01,6.776308162776e-01,1.079653372952e+01,0,0.000000000000e+00
Cl,K,-2.598421300908e-02,1.962413096044e-01,-1.320058561980e+00,0,1.000000000000e+00
