condition,regime,K,participation_ratio,effective_rank,levina_bickel_mle,spectral_gap,eig1,eig2
baseline,full_padded_1_60,56,8.036779710409e+00,1.112888296474e+01,1.841372042592e+00,2.372770863686e+00,8.808047046432e+00,6.435276182746e+00
baseline,full_padded_1_60,57,8.036779710409e+00,1.112888296474e+01,1.841372042592e+00,2.372770863686e+00,8.808047046432e+00,6.435276182746e+00
baseline,full_padded_1_60,58,8.036779710409e+00,1.112888296474e+01,1.841372042592e+00,2.372770863686e+00,8.808047046432e+00,6.435276182746e+00
baseline,full_padded_1_60,59,8.036779710409e+00,1.112888296474e+01,1.841372042592e+00,2.372770863686e+00,8.808047046432e+00,6.435276182746e+00
baseline,full_padded_1_60,60,8.036779710409e+00,1.112888296474e+01,1.841372042592e+00,2.372770863686e+00,8.808047046432e+00,6.435276182746e+00
baseline,truncated_1_37,1,1.000000000000e+00,1.000000000000e+00,1.247446159461e+00,0.000000000000e+00,1.009345794392e+00,0.000000000000e+00
baseline,truncated_1_37,2,1.937213969476e+00,1.967676195084e+00,1.989481554903e+00,3.634232357505e-01,1.191057412268e+00,8.276341765173e-01
baseline,truncated_1_37,3,2.928674198451e+00,2.963299681576e+00,1.989302072106e+00,1.789340184476e-01,1.197492625049e+00,1.018558606602e+00
baseline,truncated_1_37,4,2.631014299621e+00,2.801288558816e+00,1.989791768238e+00,8.382113583840e-01,2.026535465195e+00,1.188324106811e+00
baseline,truncated_1_37,5,2.295894749309e+00,2.663054827876e+00,1.996745911562e+00,1.811139928433e+00,3.000125305076e+00,1.188985376643e+00
baseline,truncated_1_37,6,2.026397093506e+00,2.459003151795e+00,1.996496700244e+00,2.811355984896e+00,4.000578252016e+00,1.189222267120e+00
baseline,truncated_1_37,7,2.540374983543e+00,3.175001325836e+00,2.684820396437e+00,2.814086541254e+00,4.058936929513e+00,1.244850388259e+00
baseline,truncated_1_37,8,3.149711142455e+00,3.998314842676e+00,2.845071207732e+00,2.775262260058e+00,4.058936945023e+00,1.283674684965e+00
baseline,truncated_1_37,9,3.508040919514e+00,4.301131813650e+00,2.796542242393e+00,2.082057700842e+00,4.061902413084e+00,1.979844712242e+00
baseline,truncated_1_37,10,3.597970340398e+00,4.315534741003e+00,2.803859284829e+00,1.115426801996e+00,4.062184351387e+00,2.946757549391e+00
baseline,truncated_1_37,11,4.199916157436e+00,5.120867524335e+00,2.841277712107e+00,1.115644296260e+00,4.062709259065e+00,2.947064962806e+00
baseline,truncated_1_37,12,4.815135885450e+00,5.917203205326e+00,2.915810641462e+00,1.108054912609e+00,4.063228030575e+00,2.955173117965e+00
baseline,truncated_1_37,13,5.151364952101e+00,6.178383442014e+00,2.935763073305e+00,1.073863586095e+00,4.063587878341e+00,2.989724292246e+00
baseline,truncated_1_37,14,5.324251959702e+00,6.385613124279e+00,2.951655853422e+00,9.499097124062e-01,4.098805437456e+00,3.148895725050e+00
baseline,truncated_1_37,15,5.528582554131e+00,6.662462111473e+00,2.958116192641e+00,7.838082193744e-01,4.203223467630e+00,3.419415248256e+00
baseline,truncated_1_37,16,5.877701770961e+00,7.014844506518e+00,3.071126675602e+00,7.691262985151e-01,4.203224030194e+00,3.434097731678e+00
baseline,truncated_1_37,17,6.055839802688e+00,7.160538442585e+00,3.140143115373e+00,7.062187626534e-01,4.203901298489e+00,3.497682535836e+00
